i,tau,f_x,f_b,delta_f,dist,rate,maha_x,maha_b,valid,id_gap
0,0.010579882189631462,0.9999709477506029,0.9999693228335709,1.6249170320392636e-06,0.014409081516405681,0.0,0.0,0.0,1,-8.706603144892355e-06
0,0.01579042710363865,0.9999709477506029,0.9999684486078314,2.49914277150598e-06,0.020907980821510064,0.0,0.0,0.0,1,0.1425199922578439
0,0.023567141965031624,0.9999709477506029,0.9999670821306982,3.865619904730444e-06,0.03008254339512575,0.0,0.0,0.0,1,0.2471793360527451
0,0.03517385199666023,0.9999709477506029,0.9999648821867615,6.065563841417543e-06,0.04283811545851929,0.0,0.0,0.0,1,0.4587595364601854
0,0.05249682068824768,0.9999709477506029,0.9999613576339446,9.59011665835341e-06,0.060272511717747064,0.0,0.0,0.0,1,7.390778782978558e-06
0,0.07835126668214798,0.9999709477506029,0.9999555596507761,1.5388099826818546e-05,0.08373520376519838,0.0,0.0,0.0,1,0.3640873799960953
0,0.11693891882896423,0.9999709477506029,0.9999453259121704,2.5621838432465793e-05,0.11503731793351481,0.0,0.0,0.0,1,0.3869036895949214
0,0.17453081905841827,0.9999709477506029,0.9999256143695855,4.533338101742057e-05,0.15687216433161957,0.0,0.0,0.0,1,0.2377550227747437
0,0.2604864537715912,0.9999709477506029,0.9998852197972955,8.57279533074129e-05,0.2132801587800939,0.0,0.0,0.0,1,0.41944597917548276
0,0.38877490162849426,0.9999709477506029,0.9997903231312933,0.0001806246193095662,0.28970720218568263,0.0,0.0,0.0,1,0.25337853302913566
0,0.580244779586792,0.9999709477506029,0.9995116508705434,0.0004592968800595232,0.3922147277498237,0.0,0.0,0.0,1,0.2471793360527451
0,0.8660127520561218,0.9999709477506029,0.9984846901142539,0.0014862576363490199,0.5257724795205057,0.0,0.0,0.0,1,0.039605423414129315
0,1.2925201654434204,0.9999709477506029,0.9937333204574326,0.006237627293170345,0.6919436389383102,0.0,0.0,0.0,1,0.3226312953331685
0,1.929080605506897,0.9999709477506029,0.9650315114546049,0.03493943629599805,0.8866362836651344,0.0,0.0,0.0,1,0.22849385635015285
0,2.8791441917419434,0.9999709477506029,0.7718804192512004,0.22809052849940248,1.0991555369437838,0.0,0.0,0.0,1,0.22732494437976625
0,4.297110080718994,0.9999709477506029,0.2733376804690815,0.7266332672815214,1.3138848278598654,0.0,0.0,0.0,1,-2.9043424013552865e-06
0,6.413417339324951,0.9999709477506029,0.04526888375555002,0.9547020639950529,1.514525774450592,0.0,0.0,0.0,1,0.29017446291771054
0,9.571996688842773,0.9999709477506029,0.008552130780161291,0.9914188169704417,1.688737823567731,0.0,0.0,0.0,1,0.4557023241453185
0,14.286163330078125,0.9999709477506029,0.0023776016425638277,0.9975933461080391,1.8306119246967305,0.0,0.0,0.0,1,0.2533275211593242
0,21.32203483581543,0.9999709477506029,0.000880248452287093,0.9990906992983158,1.940238039080758,0.0,0.0,0.0,1,5.1523052307933526e-06
0,31.823041915893555,0.9999709477506029,0.0004371897112973829,0.9995337580393056,2.021556161753608,0.0,0.0,0.0,1,0.36966622274596694
0,47.49574661254883,0.9999709477506029,0.00028182166846506566,0.9996891260821379,2.0800665041655626,0.0,0.0,0.0,1,8.524073516591457e-06
0,70.88719177246094,0.9999709477506029,0.00020588129301536104,0.9997650664575876,2.121249625854542,0.0,0.0,0.0,1,0.1425199922578439
0,105.79882049560547,0.9999709477506029,0.00016606063046473312,0.9998048871201382,2.1497897486559427,0.0,0.0,0.0,1,5.1523052307933526e-06
1,0.010579882189631462,0.9999501514472736,0.999957872654169,-7.721206895405786e-06,0.06192600318515392,0.0,0.0,0.0,1,-0.0001827699227128221
1,0.01579042710363865,0.9999501514472736,0.9999595148013937,-9.36335412005107e-06,0.08097295515014839,0.0,0.0,0.0,1,-0.00039783158536588203
1,0.023567141965031624,0.9999501514472736,0.9999608251276797,-1.067368040608141e-05,0.1030114328824384,0.0,0.0,0.0,1,0.1882913579550391
1,0.03517385199666023,0.9999501514472736,0.9999613644256777,-1.1212978404118168e-05,0.12815157411843311,0.0,0.0,0.0,1,-0.20370843159705398
1,0.05249682068824768,0.9999501514472736,0.9999604812234199,-1.0329776146233982e-05,0.15733853193324895,0.0,0.0,0.0,1,-1.6469298494414808e-05
1,0.07835126668214798,0.9999501514472736,0.9999569425469468,-6.791099673164602e-06,0.19273320564663332,0.0,0.0,0.0,1,0.2630995719721788
1,0.11693891882896423,0.9999501514472736,0.9999481968012202,1.954646053459186e-06,0.23775591886030123,0.0,0.0,0.0,1,-0.26151302442125723
1,0.17453081905841827,0.9999501514472736,0.9999280321835521,2.2119263721531723e-05,0.2969261710117178,0.0,0.0,0.0,1,-0.14681658759619176
1,0.2604864537715912,0.9999501514472736,0.999876731951015,7.341949625860877e-05,0.3755900274213573,0.0,0.0,0.0,1,-0.24872809197659207
1,0.38877490162849426,0.9999501514472736,0.9997329211207927,0.00021723032648091056,0.47920619088240046,0.0,0.0,0.0,1,-0.2703205971156654
1,0.580244779586792,0.9999501514472736,0.9992609266110617,0.0006892248362119213,0.6119083539275663,0.0,0.0,0.0,1,-0.2327813171266292
1,0.8660127520561218,0.9999501514472736,0.9975312470947829,0.002418904352490703,0.7748203873559332,0.0,0.0,0.0,1,-0.236209299116045
1,1.2925201654434204,0.9999501514472736,0.9899735710990731,0.009976580348200481,0.9649635902363165,0.0,0.0,0.0,1,0.34397529326371157
1,1.929080605506897,0.9999501514472736,0.9527013928100768,0.0472487586371968,1.1750250195329288,0.0,0.0,0.0,1,-0.0598596735165961
1,2.8791441917419434,0.9999501514472736,0.7569005605747186,0.24304959087255507,1.393815073518081,0.0,0.0,0.0,1,-0.15094107710608023
